,player_ids,player_names,player_birthdays,player_birthcities,player_birthcountries,player_nationalities,player_heights,player_weights,player_handedness,player_positions
4137,8457955,Brad Schlegel,1968-07-22,Kitchener,CAN,CAN,"5' 10""",188,R,Defenseman
4055,8447450,David Haas,1968-07-23,Toronto,CAN,CAN,"6' 2""",196,L,Left Wing
4163,8457589,Mark Osiecki,1968-07-23,St. Paul,USA,USA,"6' 2""",200,R,Defenseman
3868,8445918,Dave Capuano,1968-07-27,Warwick,USA,USA,"6' 2""",190,L,Left Wing
4024,8445201,Bob Babcock,1968-08-03,Agincourt,CAN,CAN,"6' 1""",222,L,Defenseman
4176,8455911,Michael Colman,1968-08-04,Stoneham,USA,USA,"6' 3""",218,R,Defenseman
4272,8458732,Alexander Andrijevski,1968-08-10,Minsk,BLR,BLR,"6' 5""",212,R,Right Wing
3638,8447690,Greg Hawgood,1968-08-10,Edmonton,CAN,CAN,"5' 10""",190,L,Defenseman
3774,8445734,Benoit Brunet,1968-08-24,Ste-Anne-de-Bellevue,CAN,CAN,"5' 10""",203,L,Left Wing
3787,8446475,Mario Doyon,1968-08-27,Quebec City,CAN,CAN,"6' 0""",174,R,Defenseman
3745,8446830,Tom Fitzgerald,1968-08-28,Billerica,USA,USA,"6' 0""",195,R,Right Wing
4213,8457191,Vladimir Malakhov,1968-08-30,Sverdlovskurg,RUS,RUS,"6' 4""",230,L,Defenseman
4146,8458883,Rob Conn,1968-09-03,Calgary,CAN,CAN,"6' 2""",200,R,Right Wing
3702,8445197,Warren Babe,1968-09-07,Medicine Hat,CAN,CAN,"6' 2""",190,L,Left Wing
4343,8459591,Sergei Petrenko,1968-09-10,Kharkov,UKR,RUS,"5' 11""",167,L,Left Wing
4781,8462826,Konstantin Shafranov,1968-09-11,Magnitogorsk,RUS,KAZ,"5' 11""",195,L,Right Wing
3978,8445823,Shawn Byram,1968-09-12,Neepawa,CAN,CAN,"6' 2""",204,L,Left Wing
3936,8447384,Mike Greenlay,1968-09-15,Vitoria,BRA,BRA,"6' 3""",200,L,Goalie
4302,8458647,Jaroslav Otevrel,1968-09-16,Uherský Brod,CZE,CZE,"6' 2""",185,L,Center
4093,8458483,Valeri Zelepukin,1968-09-17,Voskresensk,RUS,RUS,"6' 1""",200,L,Left Wing
4117,8456382,Matthew Glennon,1968-09-20,Quincy,USA,USA,"6' 0""",185,L,Left Wing
4633,8455818,Mike Casselman,1968-09-23,Morrisburg,CAN,CAN,"5' 11""",180,L,Center
4290,8458347,Dixon Ward,1968-09-23,Leduc,CAN,CAN,"6' 0""",200,R,Left Wing
3821,8446989,Link Gaetz,1968-10-02,Vancouver,CAN,CAN,"6' 2""",223,L,Defenseman
3644,8452371,Glen Wesley,1968-10-02,Red Deer,CAN,CAN,"6' 1""",207,L,Defenseman
3658,8449174,Daniel Marois,1968-10-03,Montréal,CAN,CAN,"6' 0""",190,R,Right Wing
4160,8456513,Todd Harkins,1968-10-08,Cleveland,USA,USA,"6' 3""",210,R,Right Wing
3810,8455426,Joe Aloi,1968-10-10,New Haven,USA,USA,"6' 3""",216,R,Defenseman
3952,8448674,Claude Lapointe,1968-10-11,Lachine,CAN,CAN,"5' 9""",188,L,Center
4016,8445438,Jean Claude Bergeron,1968-10-14,Hauterive,CAN,CAN,"6' 2""",192,L,Goalie
3768,8450620,Stephane Quintal,1968-10-22,Boucherville,CAN,CAN,"6' 3""",233,R,Defenseman
3740,8452557,Terry Yake,1968-10-22,New Westminster,CAN,CAN,"5' 11""",191,R,Center
3743,8446081,Dean Chynoweth,1968-10-30,Calgary,CAN,CAN,"6' 1""",191,R,Defenseman
4267,8456745,Keith Jones,1968-11-08,Brantford,CAN,CAN,"6' 2""",200,R,Right Wing
3748,8446829,Mark Fitzpatrick,1968-11-13,Toronto,CAN,CAN,"6' 2""",198,L,Goalie
5365,8468712,Lubomir Sekeras,1968-11-18,Trencin,SVK,SVK,"6' 0""",183,L,Defenseman
3715,8448483,Darin Kimble,1968-11-22,Lucky Lake,CAN,CAN,"6' 2""",205,R,Right Wing
4159,8456288,Thomas Forslund,1968-11-24,Falun,SWE,SWE,"5' 11""",200,L,Right Wing
4283,8456544,Shawn Heaphy,1968-11-27,Sudbury,CAN,CAN,"5' 8""",175,L,Center
5384,8459069,Jiri Dopita,1968-12-02,Sumperk,CZE,CZE,"6' 4""",222,L,Center
4078,8457901,Andrew Rymsha,1968-12-10,St. Catharines,CAN,CAN,"6' 3""",210,L,Defenseman
4102,8456254,Peter Fiorentino,1968-12-22,Niagara Falls,CAN,CAN,"6' 1""",200,R,Defenseman
4090,8456100,Jim Dowd,1968-12-25,Brick,USA,USA,"6' 0""",180,R,Center
4282,8456000,Kevin Dahl,1968-12-30,Regina,CAN,CAN,"5' 11""",190,R,Defenseman
4504,8459014,Robert Svehla,1969-01-02,Martin,SVK,SVK,"6' 1""",210,R,Defenseman
3765,8451834,Rick Tabaracci,1969-01-02,Toronto,CAN,CAN,"6' 1""",181,L,Goalie
4645,8458838,Steve Poapst,1969-01-03,Cornwall,CAN,CAN,"5' 11""",199,L,Defenseman
3758,8449694,Jayson More,1969-01-12,Souris,CAN,CAN,"6' 2""",210,R,Defenseman
3912,8451073,Cam Russell,1969-01-12,Halifax,CAN,CAN,"6' 4""",200,L,Defenseman
4201,8456182,David Emma,1969-01-14,Cranston,USA,USA,"5' 10""",187,L,Center
3737,8445783,Adam Burt,1969-01-15,Detroit,USA,USA,"6' 2""",210,L,Defenseman
3601,8451302,Brendan Shanahan,1969-01-23,Mimico,CAN,CAN,"6' 3""",220,R,Left Wing
3992,8451059,Darren Rumble,1969-01-23,Barrie,CAN,CAN,"6' 1""",207,L,Defenseman
3904,8449093,Steve Maltais,1969-01-25,Arvida,CAN,CAN,"6' 2""",210,L,Left Wing
4408,8457236,Darcy Martini,1969-01-30,Castlegar,CAN,CAN,"6' 4""",220,L,Defenseman
3739,8448092,Jody Hull,1969-02-02,Petrolia,CAN,CAN,"6' 2""",195,R,Right Wing
4020,8451093,Joe Sacco,1969-02-04,Medford,USA,USA,"6' 1""",190,L,Left Wing
4274,8456106,Dallas Drake,1969-02-04,Trail,CAN,CAN,"6' 0""",186,L,Right Wing
4389,8458192,Tim Taylor,1969-02-06,Stratford,CAN,CAN,"6' 1""",190,L,Center
3915,8450658,Yves Racine,1969-02-07,Matane,CAN,CAN,"6' 0""",205,L,Defenseman
4243,8457134,Doug Macdonald,1969-02-08,Assiniboia,CAN,CAN,"6' 0""",192,L,Left Wing
4044,8452444,Bob Wilkie,1969-02-11,Calgary,CAN,CAN,"6' 2""",200,R,Defenseman
4286,8458373,Brad Werenka,1969-02-12,Two Hills,CAN,CAN,"6' 1""",221,L,Defenseman
4470,8459325,Jean-Yves Roy,1969-02-17,Montréal,CAN,CAN,"5' 10""",180,L,Right Wing
3881,8449654,Alexander Mogilny,1969-02-18,Khabarovsk,RUS,RUS,"6' 0""",210,L,Right Wing
3699,8449328,Wayne McBean,1969-02-21,Calgary,CAN,CAN,"6' 2""",190,L,Defenseman
4402,8458456,Kevin Wortman,1969-02-22,Saugus,USA,USA,"6' 0""",200,R,Defenseman
3880,8448793,Darcy Loewen,1969-02-26,Calgary,CAN,CAN,"5' 10""",185,L,Left Wing
4112,8457297,Shawn McEachern,1969-02-28,Waltham,USA,USA,"5' 11""",200,L,Left Wing
4140,8449453,Ryan McGill,1969-02-28,Sherwood Park,CAN,CAN,"6' 2""",210,R,Defenseman
3723,8448381,Anthony Joseph,1969-03-01,Cornwall,CAN,CAN,"6' 4""",203,R,Right Wing
3934,8451527,Geoff Smith,1969-03-07,Edmonton,CAN,CAN,"6' 2""",200,L,Defenseman
4270,8458195,Stephen Tepper,1969-03-10,Santa Ana,USA,USA,"6' 4""",215,R,Right Wing
4318,8456932,Daniel Lacroix,1969-03-11,Montréal,CAN,CAN,"6' 2""",205,L,Center
3824,8448394,Kevin Kaminski,1969-03-13,Churchbridge,CAN,CAN,"5' 10""",190,L,Center
4305,8457399,Roy Mitchell,1969-03-14,Edmonton,CAN,CAN,"6' 1""",199,R,Defenseman
4410,8458385,Peter White,1969-03-15,Montréal,CAN,CAN,"5' 11""",200,L,Center
4312,8458033,Jason Simon,1969-03-21,Sarnia,CAN,CAN,"6' 1""",220,L,Left Wing
4479,8457406,Sandy Moger,1969-03-21,100 Mile House,CAN,CAN,"6' 4""",220,R,Right Wing
3657,8450824,Luke Richardson,1969-03-26,Ottawa,CAN,CAN,"6' 3""",214,L,Defenseman
3834,8449698,Stephane Morin,1969-03-27,Montréal,CAN,CAN,"6' 0""",174,L,Center
4277,8456974,Daniel Laperriere,1969-03-28,Laval,CAN,CAN,"6' 1""",195,L,Defenseman
4816,8465167,Kai Nurminen,1969-03-29,Turku,FIN,FIN,"6' 1""",198,L,Left Wing
4338,8455478,Mark Astley,1969-03-30,Calgary,CAN,CAN,"6' 0""",190,L,Defenseman
4459,8456024,Kevin Dean,1969-04-01,Madison,USA,USA,"6' 3""",205,L,Defenseman
3919,8450071,Keith Osborne,1969-04-02,Toronto,CAN,CAN,"6' 1""",188,R,Right Wing
4038,8448482,Gordon Kruppke,1969-04-02,Slave Lake,CAN,CAN,"6' 1""",200,R,Defenseman
3761,8447563,Jeff Harding,1969-04-06,Toronto,CAN,CAN,"6' 3""",220,R,Right Wing
3687,8449755,Rob Murphy,1969-04-07,Hull,CAN,CAN,"6' 3""",205,L,Center
3985,8452148,Dennis Vial,1969-04-10,Sault Ste. Marie,CAN,CAN,"6' 1""",220,L,Left Wing
4598,8458327,Philip Von Stefenelli,1969-04-10,Vancouver,CAN,CAN,"6' 1""",195,L,Defenseman
3701,8445053,Dave Archibald,1969-04-14,Chilliwack,CAN,CAN,"6' 1""",211,L,Center
3793,8452246,Jimmy Waite,1969-04-15,Sherbrooke,CAN,CAN,"6' 1""",180,L,Goalie
4697,8460239,Vladimir Tsyplakov,1969-04-18,Moscow,RUS,BLR,"6' 1""",210,L,Left Wing
4254,8455479,Blair Atcheynum,1969-04-20,Estevan,CAN,CAN,"6' 2""",203,R,Right Wing
4204,8458152,Brian Sullivan,1969-04-23,South Windsor,USA,USA,"6' 4""",195,R,Right Wing
4116,8456087,Ted Donato,1969-04-28,Boston,USA,USA,"5' 10""",189,L,Left Wing
3899,8448142,Peter Ing,1969-04-28,Toronto,CAN,CAN,"6' 2""",170,L,Goalie
3897,8449439,John McIntyre,1969-04-29,Ravenswood,CAN,CAN,"6' 1""",180,L,Center
3726,8449137,Bryan Marchment,1969-05-01,Scarborough,CAN,CAN,"6' 1""",200,L,Defenseman
4202,8456496,Ben Hankinson,1969-05-01,Edina,USA,USA,"6' 2""",210,R,Right Wing
4387,8455408,Micah Aivazoff,1969-05-04,Powell River,CAN,CAN,"6' 0""",195,L,Center
4310,8456441,Brent Grieve,1969-05-09,Oshawa,CAN,CAN,"6' 1""",202,L,Left Wing
4275,8456597,Jim Hiller,1969-05-13,Port Alberni,CAN,CAN,"6' 0""",190,R,Right Wing
4880,8459555,Petri Varis,1969-05-13,Helsinki,FIN,FIN,"6' 1""",200,L,Left Wing
4114,8457490,Todd Nelson,1969-05-15,Prince Albert,CAN,CAN,"6' 0""",201,L,Defenseman
4061,8445753,Richard Brown,1969-05-15,Prince Albert,CAN,CAN,"6' 1""",210,L,Left Wing
4108,8458036,Reid Simpson,1969-05-21,Flin Flon,CAN,CAN,"6' 2""",216,L,Left Wing
4023,8457791,Damian Rhodes,1969-05-28,St. Paul,USA,USA,"5' 11""",195,L,Goalie
4179,8457747,Jean-Francois Quintin,1969-05-28,Saint-Jean,CAN,CAN,"6' 0""",187,L,Left Wing
4178,8457566,Jeff Odgers,1969-05-31,Spy Hill,CAN,CAN,"6' 0""",200,R,Right Wing
3862,8445283,Len Barrie,1969-06-04,Kimberley,CAN,CAN,"6' 0""",200,L,Center
4170,8457282,Shawn McCosh,1969-06-05,Oshawa,CAN,CAN,"6' 0""",188,R,Center
3893,8450657,Andre Racicot,1969-06-09,Rouyn-Noranda,CAN,CAN,"5' 11""",165,L,Goalie
3833,8446873,Bryan Fogarty,1969-06-11,Brantford,CAN,CAN,"6' 1""",205,L,Defenseman
3954,8449633,Kip Miller,1969-06-11,Lansing,USA,USA,"5' 10""",188,L,Center
3652,8451224,Mathieu Schneider,1969-06-12,New York City,USA,USA,"5' 11""",192,L,Defenseman
3775,8446407,Eric Desjardins,1969-06-14,Rouyn,CAN,CAN,"6' 1""",205,R,Defenseman
4073,8448987,Pat MacLeod,1969-06-15,Melfort,CAN,CAN,"5' 11""",190,L,Defenseman
4126,8455564,Jesse Belanger,1969-06-15,St-Georges De Beauce,CAN,CAN,"6' 1""",190,R,Center
3913,8448455,Sheldon Kennedy,1969-06-15,Brandon,CAN,CAN,"5' 10""",180,R,Right Wing
4251,8456848,Patric Kjellberg,1969-06-17,Trelleborg,SWE,SWE,"6' 3""",210,L,Left Wing
4441,8457312,Mike McKee,1969-06-18,Toronto,CAN,CAN,"6' 3""",190,R,Defenseman
4519,8457436,Scott Morrow,1969-06-18,Chicago,USA,USA,"6' 1""",190,L,Left Wing
4585,8456361,Ken Gernander,1969-06-30,Coleraine,USA,USA,"5' 11""",180,L,Right Wing
4399,8459412,Jim Montgomery,1969-06-30,Montréal,CAN,CAN,"5' 10""",180,R,Center
4012,8448622,John LeClair,1969-07-05,St. Albans,USA,USA,"6' 3""",233,L,Left Wing
3718,8451101,Joe Sakic,1969-07-07,Burnaby,CAN,CAN,"5' 11""",195,L,Center
4124,8455874,Peter Ciavaglia,1969-07-15,Albany,USA,USA,"5' 10""",173,L,Center
4228,8458080,Tommy Soderstrom,1969-07-17,Stockholm,SWE,SWE,"5' 9""",155,L,Goalie
4221,8458775,Steven King,1969-07-22,Greenwich,USA,USA,"6' 0""",195,R,Right Wing
3771,8449608,Brad Miller,1969-07-23,Edmonton,CAN,CAN,"6' 4""",220,L,Defenseman
3886,8446003,Andrew Cassels,1969-07-23,Bramalea,CAN,CAN,"5' 11""",178,L,Center
4026,8448484,Dmitri Khristich,1969-07-23,Kiev,UKR,UKR,"6' 2""",211,R,Right Wing
4138,8458454,Jason Woolley,1969-07-27,Toronto,CAN,CAN,"6' 0""",207,L,Defenseman
4352,8456917,Les Kuntar,1969-07-28,Elma,USA,USA,"6' 2""",195,L,Goalie
4447,8458075,Garth Snow,1969-07-28,Wrentham,USA,USA,"6' 3""",200,L,Goalie
4211,8456306,Iain Fraser,1969-08-10,Scarborough,CAN,CAN,"5' 10""",175,L,Center
3849,8445493,James Black,1969-08-15,Regina,CAN,CAN,"5' 11""",210,L,Left Wing
3990,8449776,Patrick Murray,1969-08-20,Stratford,CAN,CAN,"6' 2""",185,L,Left Wing
4570,8457661,Ricard Persson,1969-08-24,Ostersund,SWE,SWE,"6' 1""",201,L,Defenseman
3869,8448771,Jamie Leach,1969-08-25,Philadelphia,USA,USA,"6' 1""",205,R,Right Wing
3650,8451991,Pierre Turgeon,1969-08-28,Rouyn,CAN,CAN,"6' 1""",199,L,Center
4284,8458800,Andrei Trefilov,1969-08-31,Kirovo-Chepetsk,RUS,RUS,"6' 0""",190,L,Goalie
4049,8449295,Stephane Matteau,1969-09-02,Rouyn,CAN,CAN,"6' 4""",220,L,Left Wing
4337,8459722,Fred Knipscheer,1969-09-03,Fort Wayne,USA,USA,"5' 11""",185,L,Left Wing
4687,8459256,Alex Hicks,1969-09-04,Calgary,CAN,CAN,"6' 0""",190,L,Left Wing
4209,8455996,Corrie D'alessio,1969-09-09,Cornwall,CAN,CAN,"5' 11""",155,L,Goalie
3629,8448380,Chris Joseph,1969-09-10,Burnaby,CAN,CAN,"6' 2""",211,R,Defenseman
4278,8457380,Kevin Miehm,1969-09-10,Kitchener,CAN,CAN,"6' 2""",197,L,Center
4104,8458477,Rob Zamuner,1969-09-17,Oakville,CAN,CAN,"6' 3""",201,L,Left Wing
4205,8456009,Scott Daniels,1969-09-19,Mistawasis,CAN,CAN,"6' 3""",215,L,Left Wing
3716,8448797,Curtis Leschyshyn,1969-09-21,Thompson,CAN,CAN,"6' 1""",207,L,Defenseman
4271,8458219,Milan Tichy,1969-09-22,Plzen,CZE,CZE,"6' 3""",198,L,Defenseman
3885,8445176,Donald Audette,1969-09-23,Laval,CAN,CAN,"5' 8""",191,R,Right Wing
4087,8458715,Igor Ulanov,1969-10-01,Krasnokamsk,RUS,RUS,"6' 3""",220,L,Defenseman
4480,8457841,Jon Rohloff,1969-10-03,Mankato,USA,USA,"6' 0""",220,R,Defenseman
4436,8458755,Jeff McLean,1969-10-06,Port Moody,CAN,CAN,"5' 10""",186,L,Center
4224,8456227,Andre Faust,1969-10-07,Joliette,CAN,CAN,"6' 1""",180,L,Center
4789,8460806,Dwayne Roloson,1969-10-12,Simcoe,CAN,CAN,"6' 1""",170,L,Goalie
3963,8446133,Zdeno Ciger,1969-10-19,Martin,SVK,SVK,"6' 1""",190,L,Left Wing
4166,8455575,Josef Beranek,1969-10-25,Litvinov,CZE,CZE,"6' 2""",195,L,Left Wing
3730,8446936,Corey Foster,1969-10-27,Ottawa,CAN,CAN,"6' 3""",204,L,Defenseman
3895,8446454,Tie Domi,1969-11-01,Windsor,CAN,CAN,"5' 10""",213,R,Right Wing
3853,8449477,Jim McKenzie,1969-11-03,Gull Lake,CAN,CAN,"6' 4""",230,L,Left Wing
4007,8451805,Ken Sutton,1969-11-05,Edmonton,CAN,CAN,"6' 1""",205,L,Defenseman
3972,8450357,Michel Picard,1969-11-07,Beauport,CAN,CAN,"5' 11""",202,L,Left Wing
4444,8458348,Ed Ward,1969-11-10,Edmonton,CAN,CAN,"6' 4""",220,R,Right Wing
4371,8459085,Patrik Augusta,1969-11-13,Jihlava,CZE,CZE,"5' 10""",180,L,Right Wing
4326,8455452,Greg Andrusak,1969-11-14,Cranbrook,CAN,CAN,"6' 1""",183,R,Defenseman
4518,8457928,Geoff Sarjeant,1969-11-30,Newmarket,CAN,CAN,"5' 9""",180,L,Goalie
3772,8451334,Darrin Shannon,1969-12-08,Barrie,CAN,CAN,"6' 2""",210,L,Left Wing
3939,8445550,Rob Blake,1969-12-10,Simcoe,CAN,CAN,"6' 4""",220,R,Defenseman
3982,8448778,Daniel Lorenz,1969-12-12,Murrayville,CAN,CAN,"5' 10""",183,L,Goalie
4036,8446788,Sergei Fedorov,1969-12-13,Pskov,RUS,RUS,"6' 2""",207,L,Center
3783,8450267,Scott Pearson,1969-12-19,Cornwall,CAN,CAN,"6' 1""",205,L,Left Wing
4812,8456926,Marc Labelle,1969-12-20,Maniwaki,CAN,CAN,"6' 1""",215,L,Left Wing
4005,8451140,Joel Savage,1969-12-25,Surrey,CAN,CAN,"5' 11""",205,R,Right Wing
4535,8458888,Denny Lambert,1970-01-07,Wawa,CAN,CAN,"5' 11""",211,L,Left Wing
4443,8457533,Dwayne Norris,1970-01-08,St. Johns,CAN,CAN,"5' 10""",175,R,Right Wing
4077,8456852,Jon Klemm,1970-01-08,Cranbrook,CAN,CAN,"6' 2""",205,R,Defenseman
4203,8457646,Scott Pellerin,1970-01-09,Shediac,CAN,CAN,"5' 11""",190,L,Left Wing
3958,8456956,Dan Lambert,1970-01-12,St. Boniface,CAN,CAN,"5' 8""",177,L,Defenseman
3920,8450471,Adrian Plavsic,1970-01-13,Montréal,CAN,CAN,"6' 1""",191,L,Defenseman
4298,8457642,Tom Pederson,1970-01-14,Bloomington,USA,USA,"5' 9""",185,R,Defenseman
4250,8455843,Eric Charron,1970-01-14,Verdun,CAN,CAN,"6' 3""",215,L,Defenseman
3789,8450978,Jeremy Roenick,1970-01-17,Boston,USA,USA,"6' 1""",205,R,Center
4245,8458208,John Thomas,1970-01-18,Buffalo,USA,USA,"6' 2""",195,R,Right Wing
4297,8456347,Rob Gaudreau,1970-01-20,Lincoln,USA,USA,"5' 11""",185,R,Center
4244,8458058,Richard Smehlik,1970-01-23,Ostrava,CZE,CZE,"6' 3""",230,L,Defenseman
3905,8449289,Jim Mathieson,1970-01-24,Kindersley,CAN,CAN,"6' 1""",209,L,Defenseman
3970,8447383,Mark Greig,1970-01-25,High River,CAN,CAN,"5' 11""",190,R,Right Wing
4679,8457194,Dean Malkoc,1970-01-26,Vancouver,CAN,CAN,"6' 3""",200,R,Defenseman
4019,8447247,Alexander Godynyuk,1970-01-27,Kiev,RUS,UKR,"6' 1""",210,L,Defenseman
4818,8456127,Parris Duffus,1970-01-27,Denver,USA,USA,"6' 2""",192,L,Goalie
4263,8457883,Jason Ruff,1970-01-27,Kelowna,CAN,CAN,"6' 2""",192,L,Left Wing
4256,8458095,Martin St. Amour,1970-01-30,Montréal,CAN,CAN,"6' 3""",194,L,Left Wing
4196,8457061,Scott Levins,1970-01-30,Spokane,USA,USA,"6' 4""",210,R,Right Wing
4118,8456556,Steve Heinze,1970-01-30,Lawrence,USA,USA,"5' 11""",202,R,Right Wing
3850,8447313,Christopher Govedaris,1970-02-02,Toronto,CAN,CAN,"6' 0""",200,L,Left Wing
4406,8457463,Jason Muzzatti,1970-02-03,Toronto,CAN,ITA,"6' 2""",214,L,Goalie
4123,8455805,Keith Carney,1970-02-03,Providence,USA,USA,"6' 1""",207,L,Defenseman
4321,8456602,Todd Hlushko,1970-02-07,Toronto,CAN,CAN,"5' 11""",200,L,Left Wing
4394,8455850,Denis Chasse,1970-02-07,Montréal,CAN,CAN,"6' 2""",200,L,Right Wing
4015,8456595,Sean Hill,1970-02-14,Duluth,USA,USA,"6' 0""",204,R,Defenseman
3766,8446083,Rob Cimetta,1970-02-15,Toronto,CAN,CAN,"6' 0""",190,L,Left Wing
4328,8456782,Ladislav Karabin,1970-02-16,Bratislava,SVK,SVK,"6' 1""",189,L,Left Wing
4111,8457866,Dominic Roussel,1970-02-22,Hull,CAN,CAN,"6' 1""",200,L,Goalie
3859,8449094,Troy Mallette,1970-02-25,Sudbury,CAN,CAN,"6' 3""",219,L,Left Wing
4105,8455646,Claude Boivin,1970-03-01,Ste-Foy,CAN,CAN,"6' 2""",210,L,Left Wing
4218,8457372,Joby Messier,1970-03-02,Regina,CAN,CAN,"6' 1""",207,R,Defenseman
4592,8458778,Peter Allen,1970-03-06,Calgary,CAN,CAN,"6' 2""",185,R,Defenseman
4053,8456903,Paul Kruse,1970-03-15,Merritt,CAN,CAN,"6' 0""",214,L,Left Wing
4013,8448775,Patrick Lebeau,1970-03-17,Saint-Jerome,CAN,CAN,"5' 10""",172,L,Left Wing
4562,8458805,Janne Laukkanen,1970-03-19,Lahti,FIN,FIN,"6' 1""",187,L,Defenseman
4775,8457186,Mark Major,1970-03-20,Toronto,CAN,CAN,"6' 3""",223,NA,Left Wing
4541,8457801,Travis Richards,1970-03-22,Robbinsdale,USA,USA,"6' 1""",185,L,Defenseman
4327,8456120,Justin Duberman,1970-03-23,New Haven,USA,USA,"6' 1""",185,R,Right Wing
4060,8445017,Shawn Antoski,1970-03-25,Brantford,CAN,CAN,"6' 4""",235,L,Left Wing
4115,8457481,Michael Needham,1970-04-04,Calgary,CAN,CAN,"5' 10""",185,R,Right Wing
3910,8448535,Olie Kolzig,1970-04-06,Johannesburg,ZAF,DEU,"6' 3""",224,L,Goalie
4317,8456793,Alexander Karpovtsev,1970-04-07,Moscow,RUS,RUS,"6' 3""",221,L,Defenseman
4344,8456235,Craig Ferguson,1970-04-08,Castro Valley,USA,USA,"5' 11""",190,L,Center
4175,8456411,David Goverde,1970-04-09,Toronto,CAN,CAN,"6' 0""",210,R,Goalie
3832,8446432,Daniel Dore,1970-04-09,Saint-Jerome,CAN,CAN,"6' 3""",202,R,Right Wing
4189,8455875,Enrico Ciccone,1970-04-10,Montréal,CAN,CAN,"6' 5""",222,L,Defenseman
3816,8448825,Trevor Linden,1970-04-11,Medicine Hat,CAN,CAN,"6' 4""",220,R,Center
4242,8456401,Viktor Gordiouk,1970-04-11,Moscow,RUS,RUS,"5' 10""",176,R,Right Wing
4432,8458508,Philip Crowe,1970-04-14,Red Deer,CAN,CAN,"6' 2""",225,R,Right Wing
3813,8448822,Francois Leroux,1970-04-18,Ste-Adele,CAN,CAN,"6' 6""",236,L,Defenseman
4239,8459192,Denis Chervyakov,1970-04-20,St. Petersburg,RUS,RUS,"6' 0""",185,L,Defenseman
4322,8457193,Stewart Malgunas,1970-04-21,Prince George,CAN,CAN,"6' 0""",200,NA,Defenseman
4304,8455526,Douglas Barrault,1970-04-21,Golden,CAN,USA,"6' 2""",205,R,Right Wing
4472,8456759,Patrik Juhlin,1970-04-24,Huddinge,SWE,SWE,"6' 1""",196,L,Right Wing
4952,8459179,Victor Ignatjev,1970-04-26,Riga,LVA,LVA,"6' 2""",215,L,Defenseman
4151,8457063,Nicklas Lidstrom,1970-04-28,Vasteras,SWE,SWE,"6' 1""",192,L,Defenseman
4154,8456233,Denny Felsner,1970-04-29,Warren,USA,USA,"6' 0""",195,L,Left Wing
4029,8451152,Reginald Savage,1970-05-01,Montréal,CAN,CAN,"5' 10""",187,L,Center
4454,8455976,Edward Crowley,1970-05-03,Concord,USA,USA,"6' 2""",188,R,Defenseman
4173,8458394,Sean Whyte,1970-05-04,Sudbury,CAN,CAN,"6' 0""",198,R,Right Wing
4303,8458761,Mark Beaufait,1970-05-13,Royal Oak,USA,USA,"5' 9""",168,R,Center
4148,8455984,Jim Cummins,1970-05-15,Dearborn,USA,USA,"6' 2""",210,R,Right Wing
3875,8452285,Wes Walz,1970-05-15,Calgary,CAN,CAN,"5' 11""",190,R,Center
4514,8456349,Daniel Gauthier,1970-05-17,Charlemagne,CAN,CAN,"6' 1""",190,L,Left Wing
4421,8456695,Dane Jackson,1970-05-17,Winnipeg,CAN,CAN,"6' 1""",200,R,Right Wing
4276,8458468,Jason York,1970-05-20,Nepean,CAN,CAN,"6' 2""",202,R,Defenseman
4813,8458266,Roman Turek,1970-05-21,Strakonice,CZE,CZE,"6' 4""",222,R,Goalie
4395,8457816,David Roberts,1970-05-28,Alameda,USA,USA,"6' 0""",185,L,Left Wing
4099,8457319,Marty McInnis,1970-06-02,Weymouth,USA,USA,"5' 11""",184,R,Left Wing
4334,8456455,John Gruden,1970-06-04,Virginia,USA,USA,"6' 0""",205,L,Defenseman
4767,8460747,Per Gustafsson,1970-06-04,Oskarshamn,SWE,SWE,"6' 2""",196,L,Defenseman
3811,8447091,Martin Gelinas,1970-06-05,Shawinigan,CAN,CAN,"5' 11""",202,L,Left Wing
4193,8456882,Andrei Kovalenko,1970-06-07,Balakovo,RUS,RUS,"5' 10""",215,L,Right Wing
3829,8449645,Mike Modano,1970-06-07,Livonia,USA,USA,"6' 3""",212,L,Center
3933,8451371,Trevor Sim,1970-06-09,Calgary,CAN,CAN,"6' 2""",192,L,Right Wing
4085,8457847,Russ Romaniuk,1970-06-09,Winnipeg,CAN,CAN,"6' 0""",195,L,Left Wing
4223,8455752,Viacheslav Butsayev,1970-06-13,Togliatti,RUS,RUS,"6' 2""",220,L,Center
3838,8446831,Stephane Fiset,1970-06-17,Montréal,CAN,CAN,"6' 1""",198,L,Goalie
4977,8466130,Andrei Bashkirov,1970-06-22,Chelehov,RUS,RUS,"6' 0""",215,L,Left Wing
4074,8455838,Stephane Charbonneau,1970-06-27,Ste-Adele,CAN,CAN,"6' 2""",195,R,Right Wing
3863,8446832,Craig Fisher,1970-06-30,Oshawa,CAN,CAN,"6' 3""",180,L,Center
4478,8456512,Brett Harkins,1970-07-02,North Ridgeville,USA,USA,"6' 1""",170,L,Left Wing
4197,8457981,Teemu Selanne,1970-07-03,Helsinki,FIN,FIN,"6' 0""",209,R,Right Wing
4232,8457318,Andrew McKim,1970-07-06,Toronto,CAN,CAN,"5' 8""",175,R,Center
4384,8456121,Steve Dubinsky,1970-07-09,Montréal,CAN,CAN,"6' 0""",190,L,Right Wing
