,player_ids,player_names,player_birthdays,player_birthcities,player_birthcountries,player_nationalities,player_heights,player_weights,player_handedness,player_positions
2848,8451146,Denis Savard,1961-02-04,Pointe Gatineau,CAN,CAN,"5' 10""",175,R,Center
2826,8450218,Steve Patrick,1961-02-04,Winnipeg,CAN,CAN,"6' 3""",205,R,Right Wing
2862,8446266,Denis Cyr,1961-02-04,Verdun,CAN,CAN,"5' 10""",180,L,Right Wing
3157,8448688,Mike Lauen,1961-02-09,Marinette,USA,USA,"6' 1""",185,R,Right Wing
2864,8448521,Steve Konroyd,1961-02-10,Scarborough,CAN,CAN,"6' 1""",203,L,Defenseman
2797,8452290,Joseph Ward,1961-02-11,Sarnia,CAN,CAN,"6' 0""",178,L,Center
3002,8451701,Greg Stefan,1961-02-11,Brantford,CAN,CAN,"5' 11""",180,L,Goalie
3027,8446222,Marc Crawford,1961-02-13,Belleville,CAN,CAN,"5' 11""",185,L,Left Wing
2771,8446048,Dave Chartier,1961-02-15,St. Lazare,CAN,CAN,"5' 9""",170,R,Center
3222,8445682,Greg Britz,1961-03-01,Marblehead,USA,USA,"6' 0""",190,L,Left Wing
2782,8447000,Michel Galarneau,1961-03-01,Montréal,CAN,FRA,"6' 2""",180,R,Center
3458,8446972,Tim Friday,1961-03-05,Burbank,USA,USA,"6' 0""",190,R,Defenseman
2781,8445090,Fred Arthur,1961-03-06,Toronto,CAN,CAN,"6' 5""",210,L,Defenseman
3282,8448563,Mark Kumpel,1961-03-07,Wakefield,USA,USA,"6' 0""",190,R,Right Wing
2881,8449745,Larry Murphy,1961-03-08,Scarborough,CAN,CAN,"6' 1""",215,R,Defenseman
3490,8450350,Lyle Phair,1961-03-08,Pilot Mound,CAN,CAN,"6' 0""",189,L,Defenseman
2814,8445771,Mike Bullard,1961-03-10,Ottawa,CAN,CAN,"6' 0""",195,L,Center
3167,8446985,Mark Fusco,1961-03-12,Woburn,USA,USA,"5' 9""",175,R,Defenseman
2821,8450271,Barry Pederson,1961-03-13,Big River,CAN,CAN,"5' 11""",185,R,Center
3328,8450339,Petteri Lehto,1961-03-13,Turku,FIN,FIN,"6' 0""",185,L,Defenseman
2972,8447237,Ernie Godden,1961-03-13,Toronto,CAN,CAN,"5' 8""",160,L,Center
2893,8445583,Michel Bolduc,1961-03-13,Ange-Gardien,CAN,CAN,"6' 2""",190,L,Defenseman
3096,8448845,Craig Ludwig,1961-03-15,Rhinelander,USA,USA,"6' 3""",220,L,Defenseman
2849,8451584,Ken Solheim,1961-03-27,Hythe,CAN,CAN,"6' 3""",209,L,Left Wing
2800,8444914,Mike Allison,1961-03-28,Fort Frances,CAN,CAN,"6' 0""",200,R,Right Wing
3331,8451894,Mats Thelin,1961-03-30,Stockholm,SWE,SWE,"5' 10""",187,L,Defenseman
2830,8452445,Doug Wickenheiser,1961-03-30,Regina,CAN,CAN,"6' 1""",200,L,Center
2994,8448859,Steve Ludzik,1961-04-03,Toronto,CAN,CAN,"5' 11""",185,L,Center
3024,8445415,Neil Belland,1961-04-03,Parry Sound,CAN,CAN,"5' 11""",180,L,Defenseman
3237,8446405,Don Dietrich,1961-04-05,Deloraine,CAN,CAN,"6' 2""",205,L,Defenseman
3309,8448755,Ken Leiter,1961-04-19,Detroit,USA,USA,"6' 0""",194,L,Defenseman
3001,8449582,Corrado Micalef,1961-04-20,Montréal,CAN,CAN,"5' 8""",172,R,Goalie
3233,8449286,Bob Mason,1961-04-22,International Falls,USA,USA,"6' 1""",180,R,Goalie
3626,8445861,Jock Callander,1961-04-23,Regina,CAN,CAN,"6' 1""",188,R,Right Wing
3401,8446052,Alain Chevrier,1961-04-23,Cornwall,CAN,CAN,"5' 8""",180,L,Goalie
2948,8451327,Doug Shedden,1961-04-29,Wallaceburg,CAN,CAN,"6' 0""",182,R,Center
3416,8452424,Rob Whistle,1961-04-30,Thunder Bay,CAN,CAN,"6' 2""",185,R,Defenseman
2899,8449096,Clint Malarchuk,1961-05-01,Grande Prairie,CAN,CAN,"6' 0""",185,L,Goalie
3057,8446870,Larry Floyd,1961-05-01,Peterborough,CAN,CAN,"5' 8""",180,L,Center
3274,8448274,David Jensen,1961-05-03,Minneapolis,USA,USA,"6' 1""",185,L,Defenseman
3101,8444896,Russ Adam,1961-05-05,Windsor,CAN,CAN,"5' 10""",185,L,Center
3429,8449892,Kraig Nienhuis,1961-05-09,Sarnia,CAN,AUT,"6' 2""",213,L,Left Wing
2822,8446261,Randy Cunneyworth,1961-05-10,Etobicoke,CAN,CAN,"6' 0""",198,L,Left Wing
3031,8449414,Joe McDonnell,1961-05-11,Kitchener,CAN,CAN,"6' 2""",200,R,Defenseman
3009,8452229,Alain Vigneault,1961-05-14,Quebec City,CAN,CAN,"5' 10""",200,L,Defenseman
3474,8445277,Robin Bartel,1961-05-16,Drake,CAN,CAN,"6' 0""",200,L,Defenseman
3577,8452159,Wayne Van Dorp,1961-05-19,Burnaby,CAN,CAN,"6' 4""",225,L,Left Wing
2769,8445208,Dave Babych,1961-05-23,Edmonton,CAN,CAN,"6' 1""",225,L,Defenseman
3005,8448773,Alain Lemieux,1961-05-24,Montréal,CAN,CAN,"6' 0""",185,L,Center
2945,8447346,Pat Graham,1961-05-25,Toronto,CAN,CAN,"6' 1""",190,L,Left Wing
3678,8445567,Bob Bodak,1961-05-28,Thunder Bay,CAN,CAN,"6' 2""",200,L,Left Wing
3480,8446306,Marc D'amour,1961-05-29,Sudbury,CAN,CAN,"5' 9""",190,L,Goalie
3129,8446179,Ray Cote,1961-05-31,Pincher Creek,CAN,CAN,"5' 11""",170,R,Center
2869,8446117,Paul Coffey,1961-06-01,Weston,CAN,CAN,"6' 0""",205,L,Defenseman
3271,8445492,Scott Bjugstad,1961-06-02,St. Paul,USA,USA,"6' 1""",185,L,Left Wing
3333,8451831,Don Sylvestri,1961-06-02,Sudbury,CAN,CAN,"6' 0""",180,L,Goalie
3383,8445054,Jim Archibald,1961-06-06,Craik,CAN,CAN,"5' 11""",175,R,Right Wing
2846,8448703,Steve Larmer,1961-06-16,Peterborough,CAN,CAN,"5' 11""",195,L,Right Wing
3394,8449540,Anssi Melametsa,1961-06-21,Jyväskylä,FIN,FIN,"6' 0""",194,L,Right Wing
2944,8447076,Steve Gatzos,1961-06-22,Toronto,CAN,CAN,"5' 11""",185,R,Right Wing
3038,8449881,Bernie Nicholls,1961-06-24,Haliburton,CAN,CAN,"6' 0""",190,R,Center
3554,8446782,Ted Fauss,1961-06-30,Clinton,USA,USA,"6' 2""",205,L,Right Wing
